cpu0;r_a1;r_a2
0.0;0;0
4.94;0;0
9.88;0;0
14.82;0;1
19.69;0;1
21.67;0;1
25.05;0;1
26.17;0;1
26.5;0;1
30.4;0;1
35.01;0;1
39.6;0;1
44.01;0;1
48.4;0;1
52.9;0;1
57.47;0;1
62.05;0;1
66.64;0;1
71.22;0;1
75.77;0;1
80.39;0;1
84.94;0;1
89.4;0;1
93.95;0;1
98.53;0;1
103.11;0;1
107.72;0;1
112.33;0;1
116.93;0;1
121.5;0;1
126.12;0;1
130.7;0;1
135.37;0;1
139.96;0;1
144.58;0;1
149.12;0;1
153.74;0;1
158.35;0;1
162.95;0;1
167.56;0;1
172.09;0;1
176.63;0;1
181.26;0;1
185.86;0;1
190.44;0;1
195.02;0;1
199.65;0;1
204.19;0;1
208.79;0;1
213.37;0;1
218.0;0;1
222.58;0;1
227.2;0;1
231.74;0;1
236.37;0;1
240.97;0;1
245.59;0;1
250.21;0;1
254.77;0;1
259.35;0;1
263.97;0;1
268.62;0;1
273.18;0;1
277.79;1;1
281.68;1;1
283.79;1;1
286.85;1;1
286.88;1;1
288.42;1;1
292.63;1;1
296.87;1;1
301.13;1;1
305.45;1;1
309.69;1;1
313.91;1;1
318.21;1;1
322.56;1;1
326.94;1;1
331.24;1;1
335.54;1;1
339.87;1;1
344.17;1;1
348.44;1;1
352.75;1;1
357.05;1;1
361.36;1;1
365.68;1;1
370.03;1;1
374.31;1;1
378.69;1;1
383.09;1;1
387.44;1;1
391.84;1;1
396.18;1;1
400.45;1;1
404.73;1;1
409.09;1;1
413.43;1;1
417.75;1;1
422.04;1;1
426.37;1;1
430.52;1;1
434.83;1;1
439.16;1;1
443.38;1;1
447.69;1;1
452.04;1;1
456.33;1;1
460.7;1;1
465.01;1;1
469.33;1;1
473.67;1;1
478.03;1;1
482.39;1;1
486.74;1;1
490.92;1;1
495.24;1;1
495.24;1;1
499.51;1;1
503.77;1;1
507.97;1;1
512.34;1;1
516.69;1;1
520.93;1;1
525.17;1;2
527.22;1;2
530.09;1;2
531.85;1;2
531.85;1;2
533.66;1;2
537.68;1;2
541.73;1;2
545.73;1;2
549.57;1;2
553.72;1;2
557.8;1;2
561.84;1;2
565.85;1;2
569.86;1;2
573.91;1;2
577.8;1;2
581.94;1;2
586.01;1;2
590.06;1;2
594.02;1;2
598.07;1;2
602.08;1;2
606.1;1;2
610.07;1;2
614.03;1;2
618.08;1;2
622.03;1;2
626.14;1;2
630.19;1;2
634.18;1;2
638.07;1;2
642.08;1;2
646.01;1;2
650.09;1;2
654.17;1;2
658.22;1;2
662.24;1;2
666.3;1;2
670.36;1;2
674.35;1;2
678.46;1;2
682.41;1;2
686.34;1;2
690.39;1;2
694.44;1;2
698.53;1;2
702.38;1;2
706.41;1;2
710.35;1;2
714.33;1;2
718.28;1;2
722.21;1;2
725.98;1;2
729.86;1;2
733.79;1;2
737.86;1;2
741.86;1;2
745.88;1;2
749.83;1;2
753.47;2;2
755.29;2;2
757.96;2;2
758.8;2;2
758.8;2;2
761.15;2;2
764.97;2;2
768.81;2;2
772.51;2;2
776.19;2;2
779.95;2;2
783.74;2;2
787.57;2;2
791.34;2;2
795.11;2;2
798.85;2;2
802.66;2;2
806.52;2;2
810.43;2;2
814.06;2;2
817.79;2;2
821.52;2;2
825.29;2;2
829.02;2;2
832.81;2;2
836.56;2;2
840.37;2;2
844.06;2;2
847.81;2;2
851.72;2;2
855.55;2;2
859.33;2;2
863.19;2;2
867.08;2;2
870.87;2;2
874.65;2;2
878.46;2;2
882.21;2;2
886.02;2;2
889.78;2;2
893.65;2;2
893.65;2;2
897.5;2;2
901.31;2;2
905.08;2;2
908.93;2;2
912.73;2;2
916.46;2;2
920.25;2;2
924.06;2;2
927.85;2;2
931.62;2;2
935.46;2;2
939.26;2;2
942.99;2;2
946.74;2;2
950.51;2;2
954.32;2;2
958.14;2;2
962.02;2;2
965.74;2;3
967.35;2;3
969.74;2;3
972.19;2;3
972.22;2;3
972.91;2;3
976.27;2;3
979.77;2;3
983.44;2;3
986.88;2;3
990.38;2;3
993.88;2;3
997.41;2;3
1000.88;2;3
1004.36;2;3
1007.9;2;3
1011.57;2;3
1015.14;2;3
1018.74;2;3
1022.36;2;3
1025.98;2;3
1029.54;2;3
1033.11;2;3
1036.65;2;3
1040.2;2;3
1043.72;2;3
1047.35;2;3
1050.85;2;3
1054.28;2;3
1057.88;2;3
1061.55;2;3
1065.1;2;3
1068.72;2;3
1072.41;2;3
1076.06;2;3
1079.65;2;3
1083.28;2;3
1086.86;2;3
1090.44;2;3
1094.16;2;3
1097.81;2;3
1101.4;2;3
1104.97;2;3
1108.51;2;3
1112.0;2;3
1115.59;2;3
1119.21;2;3
1122.69;2;3
1126.13;2;3
1129.57;2;3
1133.16;2;3
1136.59;2;3
1140.14;2;3
1143.67;2;3
1147.22;2;3
1150.96;2;3
1154.69;2;3
1158.35;2;3
1162.07;2;3
1165.48;2;3
1168.55;3;3
1170.18;3;3
1172.41;3;3
1173.41;3;3
1173.41;3;3
1174.86;3;3
1178.25;3;3
1181.65;3;3
1185.08;3;3
1188.41;3;3
1191.8;3;3
1195.12;3;3
1198.46;3;3
1201.76;3;3
1204.94;3;3
1208.19;3;3
1211.48;3;3
1214.69;3;3
1218.14;3;3
1221.43;3;3
1224.89;3;3
1228.2;3;3
1231.55;3;3
1234.91;3;3
1234.91;3;3
1238.29;3;3
1241.75;3;3
1245.16;3;3
1248.51;3;3
1251.91;3;3
1255.3;3;3
1258.62;3;3
1261.97;3;3
1265.26;3;3
1268.68;3;3
1272.18;3;3
1275.58;3;3
1279.06;3;3
1282.49;3;3
1285.83;3;3
1289.18;3;3
1292.61;3;3
1295.99;3;3
1299.36;3;3
1302.7;3;3
1306.14;3;3
1309.48;3;3
1312.92;3;3
1316.29;3;3
1319.83;3;3
1323.37;3;3
1326.76;3;3
1330.03;3;3
1333.41;3;3
1336.94;3;3
1340.3;3;3
1343.63;3;3
1346.96;3;3
1350.45;3;3
1353.66;3;3
1356.87;3;4
1358.11;3;4
1360.1;3;4
1362.31;3;4
1362.34;3;4
1362.34;3;4
1364.48;3;4
1367.58;3;4
1370.68;3;4
1373.66;3;4
1376.79;3;4
1379.9;3;4
1383.09;3;4
1386.26;3;4
1389.38;3;4
1392.36;3;4
1395.54;3;4
1398.71;3;4
1401.99;3;4
1405.08;3;4
1408.25;3;4
1411.31;3;4
1414.47;3;4
1417.5;3;4
1420.72;3;4
1423.96;3;4
1426.92;3;4
1429.82;3;4
1432.9;3;4
1436.07;3;4
1439.29;3;4
1442.44;3;4
1445.49;3;4
1448.64;3;4
1451.94;3;4
1454.96;3;4
1458.02;3;4
1461.24;3;4
1464.43;3;4
1467.32;3;4
1470.55;3;4
1473.51;3;4
1476.56;3;4
1479.69;3;4
1482.9;3;4
1486.17;3;4
1489.27;3;4
1492.36;3;4
1495.55;3;4
1498.69;3;4
1501.83;3;4
1505.02;3;4
1508.23;3;4
1511.28;3;4
1514.35;3;4
1517.49;3;4
1520.67;3;4
1523.71;3;4
1526.84;3;4
1529.95;3;4
1529.95;4;4
1532.15;4;4
1533.63;4;4
1535.68;4;4
1535.81;4;4
1535.81;4;4
1537.03;4;4
1539.92;4;4
1542.99;4;4
1545.86;4;4
1548.89;4;4
1552.01;4;4
1554.99;4;4
1557.99;4;4
1560.87;4;4
1563.81;4;4
1566.86;4;4
1569.79;4;4
1572.57;4;4
1575.37;4;4
1578.28;4;4
1581.12;4;4
1583.94;4;4
1586.96;4;4
1589.98;4;4
1592.8;4;4
1595.83;4;4
1598.74;4;4
1601.67;4;4
1604.73;4;4
1607.54;4;4
1610.29;4;4
1613.33;4;4
1616.33;4;4
1619.32;4;4
1622.02;4;4
1624.72;4;4
1627.55;4;4
1630.41;4;4
1633.14;4;4
1636.24;4;4
1639.11;4;4
1641.98;4;4
1644.75;4;4
1647.52;4;4
1650.58;4;4
1653.54;4;4
1656.46;4;4
1659.48;4;4
1662.31;4;4
1665.23;4;4
1668.14;4;4
1671.0;4;4
1673.88;4;4
1676.84;4;4
1679.74;4;4
1682.61;4;4
1685.6;4;4
1688.57;4;4
1691.33;4;4
1694.09;4;5
1694.93;4;5
1696.45;4;5
1697.38;4;5
1697.38;4;5
1697.49;4;5
1699.51;4;5
1702.39;4;5
1704.97;4;5
1707.53;4;5
1710.2;4;5
1712.69;4;5
1715.36;4;5
1718.26;4;5
1720.94;4;5
1723.49;4;5
1726.26;4;5
1728.78;4;5
1731.38;4;5
1734.09;4;5
1736.73;4;5
1739.45;4;5
1742.08;4;5
1744.68;4;5
1744.68;4;5
1747.21;4;5
1749.98;4;5
1752.64;4;5
1755.34;4;5
1758.03;4;5
1760.73;4;5
1763.52;4;5
1766.37;4;5
1769.1;4;5
1771.8;4;5
1774.5;4;5
1777.01;4;5
1779.61;4;5
1782.23;4;5
1784.98;4;5
1787.83;4;5
1790.48;4;5
1793.16;4;5
1795.88;4;5
1798.56;4;5
1801.29;4;5
1804.12;4;5
1806.77;4;5
1809.35;4;5
1812.06;4;5
1814.62;4;5
1817.1;4;5
1819.84;4;5
1822.58;4;5
1825.22;4;5
1827.86;4;5
1830.68;4;5
1833.33;4;5
1835.98;4;5
1838.8;4;5
1841.66;5;5
1842.6;5;5
1843.98;5;5
1845.52;5;5
1846.15;5;5
1846.15;5;5
1846.23;5;5
1848.02;5;5
1850.55;5;5
1853.0;5;5
1855.47;5;5
1858.05;5;5
1860.59;5;5
1863.17;5;5
1865.77;5;5
1868.2;5;5
1870.73;5;5
1873.34;5;5
1875.86;5;5
1878.31;5;5
1880.79;5;5
1883.27;5;5
1885.7;5;5
1888.16;5;5
1890.59;5;5
1893.08;5;5
1895.47;5;5
1897.75;5;5
1900.42;5;5
1902.81;5;5
1905.17;5;5
1907.54;5;5
1910.04;5;5
1912.51;5;5
1914.87;5;5
1917.32;5;5
1919.93;5;5
1922.25;5;5
1924.72;5;5
1927.28;5;5
1929.62;5;5
1932.25;5;5
1934.78;5;5
1934.78;5;5
1937.14;5;5
1939.63;5;5
1942.03;5;5
1944.5;5;5
1947.2;5;5
1949.77;5;5
1952.25;5;5
1954.69;5;5
1957.26;5;5
1959.79;5;5
1962.15;5;5
1964.66;5;5
1967.31;5;5
1969.72;5;5
1972.18;5;5
1974.64;5;5
1977.15;5;6
1978.61;5;6
1979.4;5;6
1980.83;5;6
1981.39;5;6
1981.39;5;6
1981.39;5;6
1982.14;5;6
1984.36;5;6
1986.54;5;6
1988.98;5;6
1991.16;5;6
1993.29;5;6
1995.48;5;6
1997.86;5;6
1999.96;5;6
2002.22;5;6
2004.61;5;6
2006.91;5;6
2009.14;5;6
2011.31;5;6
2013.52;5;6
2015.63;5;6
2017.71;5;6
2020.06;5;6
2022.25;5;6
2024.49;5;6
2026.69;5;6
2028.99;5;6
2031.16;5;6
2033.32;5;6
2035.44;5;6
2037.72;5;6
2040.08;5;6
2042.39;5;6
2044.67;5;6
2046.85;5;6
2049.12;5;6
2051.35;5;6
2053.5;5;6
2055.82;5;6
2058.23;5;6
2060.47;5;6
2062.66;5;6
2064.9;5;6
2066.97;5;6
2069.32;5;6
2071.66;5;6
2073.81;5;6
2076.08;5;6
2078.48;5;6
2080.86;5;6
2083.23;5;6
2083.23;5;6
2085.48;5;6
2087.65;5;6
2089.98;5;6
2092.29;5;6
2094.79;5;6
2097.13;5;6
2099.44;6;6
2101.32;6;6
2101.88;6;6
2102.91;6;6
2103.84;6;6
2103.85;6;6
2103.85;6;6
2103.96;6;6
2105.39;6;6
2107.63;6;6
2109.8;6;6
2111.88;6;6
2113.91;6;6
2115.87;6;6
2117.71;6;6
2119.73;6;6
2121.88;6;6
2124.04;6;6
2125.88;6;6
2127.93;6;6
2129.88;6;6
2131.77;6;6
2133.65;6;6
2135.64;6;6
2137.74;6;6
2139.77;6;6
2141.91;6;6
2144.02;6;6
2146.18;6;6
2148.17;6;6
2150.16;6;6
2152.12;6;6
2154.17;6;6
2156.19;6;6
2158.25;6;6
2160.2;6;6
2162.26;6;6
2164.29;6;6
2166.37;6;6
2168.37;6;6
2170.24;6;6
2172.25;6;6
2174.32;6;6
2176.37;6;6
2178.45;6;6
2180.55;6;6
2182.69;6;6
2184.52;6;6
2186.42;6;6
2188.52;6;6
2190.56;6;6
2192.63;6;6
2194.72;6;6
2196.8;6;6
2199.06;6;6
2201.13;6;6
2203.18;6;6
2205.3;6;6
2207.31;6;6
2209.38;6;6
2209.38;6;7
2211.42;6;7
2211.69;6;7
2212.88;6;7
2213.66;6;7
2213.67;6;7
2213.67;6;7
2213.67;6;7
2214.1;6;7
2215.55;6;7
2217.26;6;7
2219.1;6;7
2220.98;6;7
2222.94;6;7
2224.8;6;7
2226.69;6;7
2228.65;6;7
2230.45;6;7
2232.4;6;7
2234.27;6;7
2236.11;6;7
2237.86;6;7
2239.66;6;7
2241.5;6;7
2243.65;6;7
2245.58;6;7
2247.43;6;7
2249.33;6;7
2251.35;6;7
2253.16;6;7
2254.87;6;7
2256.69;6;7
2258.61;6;7
2260.46;6;7
2262.29;6;7
2264.14;6;7
2266.15;6;7
2267.98;6;7
2269.85;6;7
2271.68;6;7
2273.52;6;7
2275.38;6;7
2277.14;6;7
2279.01;6;7
2280.91;6;7
2282.81;6;7
2284.55;6;7
2286.52;6;7
2288.43;6;7
2290.31;6;7
2292.19;6;7
2294.02;6;7
2295.86;6;7
2297.68;6;7
2299.45;6;7
2301.23;6;7
2303.02;6;7
2304.88;6;7
2306.72;6;7
2308.64;6;7
2310.53;7;7
2310.64;7;7
2311.6;7;7
2311.6;7;7
2312.45;7;7
2312.79;7;7
2312.79;7;7
2312.79;7;7
2312.79;7;7
2313.4;7;7
2314.97;7;7
2316.45;7;7
2318.08;7;7
2319.64;7;7
