cpu0;r_a1;r_a2
0.0;0;0
4.93;0;0
9.87;0;0
14.78;0;1
18.92;0;1
21.13;0;1
24.62;0;1
25.25;0;1
26.34;0;1
30.54;0;1
35.06;0;1
39.69;0;1
44.32;0;1
48.78;0;1
53.41;0;1
58.03;0;1
62.65;0;1
67.22;0;1
71.86;0;1
76.48;0;1
81.09;0;1
85.7;0;1
90.29;0;1
94.93;0;1
99.54;0;1
104.16;0;1
108.73;0;1
113.3;0;1
117.88;0;1
122.39;0;1
127.04;0;1
131.68;0;1
136.3;0;1
140.88;0;1
145.49;0;1
150.11;0;1
154.71;0;1
159.36;0;1
163.95;0;1
168.58;0;1
173.22;0;1
177.83;0;1
182.47;0;1
187.07;0;1
191.66;0;1
196.26;0;1
200.83;0;1
205.42;0;1
210.03;0;1
214.57;0;1
219.2;0;1
223.83;0;1
228.45;0;1
233.08;0;1
237.64;0;1
242.21;0;1
246.81;0;1
251.42;0;1
256.07;0;1
260.65;0;1
265.24;0;1
269.87;0;1
269.87;0;1
274.49;1;1
279.09;1;1
281.33;1;1
284.53;1;1
286.28;1;1
286.28;1;1
289.18;1;1
293.38;1;1
297.67;1;1
301.99;1;1
306.19;1;1
310.45;1;1
314.8;1;1
319.12;1;1
323.49;1;1
327.75;1;1
332.05;1;1
336.38;1;1
340.63;1;1
344.96;1;1
349.18;1;1
353.53;1;1
357.8;1;1
362.1;1;1
366.44;1;1
370.84;1;1
375.13;1;1
379.42;1;1
383.78;1;1
388.1;1;1
392.43;1;1
396.75;1;1
401.06;1;1
405.37;1;1
409.71;1;1
414.09;1;1
418.41;1;1
422.72;1;1
427.02;1;1
431.35;1;1
435.7;1;1
440.04;1;1
444.33;1;1
448.67;1;1
452.98;1;1
457.34;1;1
461.61;1;1
465.95;1;1
470.28;1;1
474.59;1;1
478.87;1;1
483.19;1;1
487.56;1;1
491.85;1;1
496.12;1;1
500.44;1;1
504.75;1;1
509.09;1;1
513.42;1;1
517.74;1;1
522.04;1;2
526.35;1;2
528.25;1;2
531.17;1;2
531.2;1;2
532.22;1;2
536.11;1;2
540.21;1;2
544.25;1;2
548.38;1;2
552.31;1;2
556.38;1;2
560.46;1;2
564.54;1;2
568.54;1;2
572.7;1;2
576.77;1;2
580.76;1;2
584.81;1;2
588.91;1;2
592.96;1;2
597.0;1;2
601.07;1;2
605.16;1;2
609.17;1;2
613.25;1;2
617.34;1;2
621.36;1;2
625.45;1;2
629.51;1;2
633.5;1;2
637.44;1;2
641.46;1;2
645.51;1;2
649.53;1;2
653.65;1;2
657.63;1;2
661.69;1;2
665.82;1;2
669.95;1;2
674.02;1;2
678.01;1;2
681.96;1;2
686.02;1;2
690.12;1;2
694.29;1;2
698.29;1;2
702.33;1;2
706.41;1;2
710.43;1;2
714.53;1;2
718.57;1;2
722.57;1;2
726.67;1;2
730.76;1;2
734.79;1;2
738.91;1;2
742.92;1;2
742.92;1;2
746.93;1;2
750.98;2;2
755.24;2;2
757.28;2;2
759.95;2;2
761.72;2;2
761.72;2;2
763.57;2;2
767.43;2;2
771.25;2;2
775.09;2;2
778.8;2;2
782.72;2;2
786.52;2;2
790.31;2;2
794.24;2;2
798.09;2;2
802.02;2;2
805.86;2;2
809.65;2;2
813.35;2;2
817.12;2;2
821.02;2;2
824.81;2;2
828.68;2;2
832.46;2;2
836.26;2;2
840.04;2;2
843.91;2;2
847.73;2;2
851.54;2;2
855.44;2;2
859.32;2;2
863.18;2;2
866.96;2;2
870.73;2;2
874.44;2;2
878.28;2;2
882.12;2;2
885.86;2;2
889.84;2;2
893.78;2;2
897.62;2;2
901.41;2;2
905.2;2;2
908.98;2;2
912.7;2;2
916.48;2;2
920.28;2;2
924.02;2;2
927.9;2;2
931.7;2;2
935.44;2;2
939.25;2;2
943.05;2;2
946.83;2;2
950.63;2;2
954.34;2;2
958.14;2;2
961.96;2;2
965.71;2;2
969.51;2;3
973.28;2;3
974.53;2;3
976.97;2;3
978.31;2;3
978.31;2;3
980.06;2;3
983.67;2;3
987.1;2;3
990.59;2;3
993.97;2;3
997.43;2;3
1000.95;2;3
1004.58;2;3
1008.13;2;3
1011.78;2;3
1015.28;2;3
1018.81;2;3
1022.36;2;3
1025.89;2;3
1029.45;2;3
1033.03;2;3
1036.52;2;3
1040.05;2;3
1043.52;2;3
1047.12;2;3
1050.55;2;3
1054.02;2;3
1057.52;2;3
1061.0;2;3
1064.44;2;3
1067.92;2;3
1071.53;2;3
1075.14;2;3
1078.74;2;3
1082.31;2;3
1085.78;2;3
1089.49;2;3
1092.95;2;3
1096.5;2;3
1100.1;2;3
1100.1;2;3
1103.64;2;3
1107.13;2;3
1110.61;2;3
1114.15;2;3
1117.63;2;3
1121.14;2;3
1124.68;2;3
1128.16;2;3
1131.63;2;3
1135.37;2;3
1138.99;2;3
1142.52;2;3
1146.08;2;3
1149.6;2;3
1153.14;2;3
1156.74;2;3
1160.2;2;3
1163.69;2;3
1167.18;3;3
1170.64;3;3
1172.22;3;3
1174.65;3;3
1176.24;3;3
1176.24;3;3
1177.16;3;3
1180.41;3;3
1183.66;3;3
1187.06;3;3
1190.26;3;3
1193.51;3;3
1196.85;3;3
1200.11;3;3
1203.41;3;3
1206.78;3;3
1210.17;3;3
1213.37;3;3
1216.51;3;3
1219.65;3;3
1222.93;3;3
1226.34;3;3
1229.5;3;3
1232.7;3;3
1236.1;3;3
1239.32;3;3
1242.55;3;3
1245.71;3;3
1249.07;3;3
1252.46;3;3
1255.58;3;3
1258.83;3;3
1262.13;3;3
1265.39;3;3
1268.72;3;3
1271.88;3;3
1275.06;3;3
1278.28;3;3
1281.42;3;3
1284.66;3;3
1287.94;3;3
1291.35;3;3
1294.7;3;3
1297.97;3;3
1301.27;3;3
1304.59;3;3
1307.8;3;3
1311.28;3;3
1314.57;3;3
1317.88;3;3
1321.06;3;3
1324.3;3;3
1327.51;3;3
1330.74;3;3
1333.96;3;3
1337.12;3;3
1340.5;3;3
1343.83;3;3
1347.22;3;3
1350.51;3;3
1353.87;3;4
1356.76;3;4
1357.91;3;4
1360.04;3;4
1360.66;3;4
1360.66;3;4
1362.19;3;4
1365.4;3;4
1368.53;3;4
1371.59;3;4
1374.54;3;4
1377.61;3;4
1380.73;3;4
1384.05;3;4
1387.33;3;4
1390.57;3;4
1393.63;3;4
1393.63;3;4
1396.76;3;4
1400.01;3;4
1403.24;3;4
1406.41;3;4
1409.44;3;4
1412.6;3;4
1415.8;3;4
1418.89;3;4
1422.16;3;4
1425.31;3;4
1428.41;3;4
1431.63;3;4
1434.82;3;4
1437.92;3;4
1440.82;3;4
1443.88;3;4
1447.03;3;4
1450.16;3;4
1453.43;3;4
1456.47;3;4
1459.43;3;4
1462.32;3;4
1465.56;3;4
1468.91;3;4
1472.14;3;4
1475.2;3;4
1478.39;3;4
1481.5;3;4
1484.53;3;4
1487.67;3;4
1490.79;3;4
1493.81;3;4
1496.77;3;4
1499.92;3;4
1502.97;3;4
1506.08;3;4
1509.26;3;4
1512.35;3;4
1515.48;3;4
1518.65;3;4
1521.74;3;4
1524.63;3;4
1527.7;4;4
1530.81;4;4
1531.79;4;4
1533.61;4;4
1535.73;4;4
1535.75;4;4
1535.75;4;4
1537.31;4;4
1540.29;4;4
1543.25;4;4
1545.98;4;4
1548.76;4;4
1551.79;4;4
1554.74;4;4
1557.67;4;4
1560.4;4;4
1563.32;4;4
1566.07;4;4
1569.03;4;4
1571.9;4;4
1574.75;4;4
1577.54;4;4
1580.48;4;4
1583.24;4;4
1586.28;4;4
1589.31;4;4
1592.17;4;4
1595.04;4;4
1598.08;4;4
1600.82;4;4
1603.72;4;4
1606.59;4;4
1609.37;4;4
1612.16;4;4
1615.02;4;4
1617.98;4;4
1620.85;4;4
1623.48;4;4
1626.36;4;4
1629.33;4;4
1632.34;4;4
1635.34;4;4
1638.28;4;4
1638.28;4;4
1641.11;4;4
1644.1;4;4
1646.97;4;4
1649.86;4;4
1652.89;4;4
1655.85;4;4
1658.69;4;4
1661.78;4;4
1664.64;4;4
1667.58;4;4
1670.58;4;4
1673.58;4;4
1676.53;4;4
1679.52;4;4
1682.55;4;4
1685.36;4;4
1688.13;4;5
1690.94;4;5
1692.45;4;5
1693.85;4;5
1695.88;4;5
1696.6;4;5
1696.6;4;5
1696.9;4;5
1699.15;4;5
1701.78;4;5
1704.25;4;5
1707.02;4;5
1709.54;4;5
1712.32;4;5
1715.06;4;5
1717.79;4;5
1720.56;4;5
1723.5;4;5
1725.96;4;5
1728.63;4;5
1731.16;4;5
1733.97;4;5
1736.8;4;5
1739.71;4;5
1742.23;4;5
1744.9;4;5
1747.5;4;5
1750.2;4;5
1752.8;4;5
1755.58;4;5
1758.38;4;5
1761.03;4;5
1763.62;4;5
1766.26;4;5
1768.78;4;5
1771.53;4;5
1774.32;4;5
1776.9;4;5
1779.59;4;5
1782.07;4;5
1784.9;4;5
1787.43;4;5
1790.13;4;5
1792.66;4;5
1795.42;4;5
1798.22;4;5
1800.97;4;5
1803.56;4;5
1806.26;4;5
1809.0;4;5
1811.77;4;5
1814.74;4;5
1817.76;4;5
1820.59;4;5
1823.47;4;5
1826.2;4;5
1828.99;4;5
1831.84;4;5
1834.4;4;5
1837.37;4;5
1840.19;5;5
1842.45;5;5
1843.14;5;5
1843.14;5;5
1844.88;5;5
1846.23;5;5
1846.26;5;5
1846.26;5;5
1847.55;5;5
1850.19;5;5
1852.77;5;5
1855.13;5;5
1857.63;5;5
1860.07;5;5
1862.57;5;5
1864.94;5;5
1867.41;5;5
1869.77;5;5
1872.0;5;5
1874.43;5;5
1877.11;5;5
1879.78;5;5
1882.16;5;5
1884.69;5;5
1887.1;5;5
1889.65;5;5
1892.09;5;5
1894.65;5;5
1897.13;5;5
1899.63;5;5
1901.88;5;5
1904.42;5;5
1906.78;5;5
1909.3;5;5
1911.67;5;5
1914.27;5;5
1916.64;5;5
1919.14;5;5
1921.61;5;5
1923.96;5;5
1926.38;5;5
1928.8;5;5
1931.33;5;5
1934.05;5;5
1936.53;5;5
1939.01;5;5
1941.48;5;5
1943.85;5;5
1946.13;5;5
1948.55;5;5
1950.95;5;5
1953.52;5;5
1955.89;5;5
1958.6;5;5
1961.07;5;5
1963.44;5;5
1965.82;5;5
1968.18;5;5
1970.5;5;5
1972.95;5;5
1975.43;5;6
1977.75;5;6
1978.34;5;6
1979.69;5;6
1980.81;5;6
1980.83;5;6
1980.83;5;6
1981.39;5;6
1983.51;5;6
1985.82;5;6
1988.01;5;6
1990.19;5;6
1992.55;5;6
1994.83;5;6
1996.98;5;6
1996.98;5;6
1999.37;5;6
2001.65;5;6
2004.02;5;6
2006.24;5;6
2008.62;5;6
2011.0;5;6
2013.33;5;6
2015.6;5;6
2017.84;5;6
2020.07;5;6
2022.23;5;6
2024.48;5;6
2026.71;5;6
2028.74;5;6
2031.12;5;6
2033.2;5;6
2035.54;5;6
2037.78;5;6
2040.04;5;6
2042.27;5;6
2044.57;5;6
2046.83;5;6
2049.01;5;6
2051.5;5;6
2053.65;5;6
2055.71;5;6
2058.03;5;6
2060.12;5;6
2062.44;5;6
2064.62;5;6
2066.94;5;6
2069.23;5;6
2071.46;5;6
2073.76;5;6
2076.0;5;6
2078.26;5;6
2080.46;5;6
2082.77;5;6
2085.15;5;6
2087.59;5;6
2089.76;5;6
2092.08;5;6
2094.22;5;6
2096.51;5;6
2098.75;6;6
2101.03;6;6
2101.62;6;6
2102.69;6;6
2104.04;6;6
2104.17;6;6
2104.17;6;6
2104.17;6;6
2104.93;6;6
2106.99;6;6
2108.82;6;6
2110.91;6;6
2112.89;6;6
2114.83;6;6
2116.84;6;6
2118.89;6;6
2121.2;6;6
2123.25;6;6
2125.37;6;6
2127.31;6;6
2129.41;6;6
2131.52;6;6
2131.52;6;6
2133.36;6;6
2135.23;6;6
2137.23;6;6
2139.4;6;6
2141.47;6;6
2143.56;6;6
2145.63;6;6
2147.7;6;6
2149.83;6;6
2151.8;6;6
2153.9;6;6
2156.02;6;6
2158.07;6;6
2160.28;6;6
2162.24;6;6
2164.15;6;6
2165.99;6;6
2168.0;6;6
2170.2;6;6
2172.18;6;6
2174.13;6;6
2176.15;6;6
2178.26;6;6
2180.21;6;6
2182.24;6;6
2184.34;6;6
2186.37;6;6
2188.44;6;6
2190.27;6;6
2192.41;6;6
2194.54;6;6
2196.42;6;6
2198.47;6;6
2200.38;6;6
2202.44;6;6
2204.33;6;6
2206.49;6;6
2208.77;6;7
2211.0;6;7
2211.83;6;7
2212.73;6;7
2213.68;6;7
