time;memory_free;r_a1;r_a2
1.666.738.395.324;0;0;0
1.666.738.395.324;-163840;0;0
1.666.738.395.324;-131072;0;0
1.666.738.395.324;167936;0;0
1.666.738.395.324;-61968384;0;1
1.666.738.395.324;-6639616;0;1
1.666.738.395.324;-6639616;0;1
1.666.738.395.324;-209092608;0;1
1.666.738.395.324;-218202112;0;1
1.666.738.395.324;-219930624;0;1
1.666.738.395.324;-220852224;0;1
1.666.738.395.324;-221298688;0;1
1.666.738.395.324;-221200384;0;1
1.666.738.395.324;-220979200;0;1
1.666.738.395.324;-221044736;0;1
1.666.738.395.324;-221044736;0;1
1.666.738.395.324;-221143040;0;1
1.666.738.395.324;-221011968;0;1
1.666.738.395.324;-221364224;0;1
1.666.738.395.324;-221773824;0;1
1.666.738.395.324;-221806592;0;1
1.666.738.395.324;-221839360;0;1
1.666.738.395.324;-221773824;0;1
1.666.738.395.324;-222093312;0;1
1.666.738.395.324;-222158848;0;1
1.666.738.395.324;-222093312;0;1
1.666.738.395.324;-222126080;0;1
1.666.738.395.324;-222027776;0;1
1.666.738.395.324;-221745152;0;1
1.666.738.395.324;-221614080;0;1
1.666.738.395.324;-221712384;0;1
1.666.738.395.324;-221614080;0;1
1.666.738.395.324;-221646848;0;1
1.666.738.395.324;-221679616;0;1
1.666.738.395.324;-221777920;0;1
1.666.738.395.324;-221741056;0;1
1.666.738.395.324;-221806592;0;1
1.666.738.395.324;-221904896;0;1
1.666.738.395.324;-221773824;0;1
1.666.738.395.324;-221904896;0;1
1.666.738.395.324;-221839360;0;1
1.666.738.395.324;-221872128;0;1
1.666.738.395.324;-221741056;0;1
1.666.738.395.324;-221872128;0;1
1.666.738.395.324;-221360128;0;1
1.666.738.395.324;-221233152;0;1
1.666.738.395.324;-221171712;0;1
1.666.738.395.324;-221237248;0;1
1.666.738.395.324;-221171712;0;1
1.666.738.395.324;-221237248;0;1
1.666.738.395.324;-221138944;0;1
1.666.738.395.324;-221458432;0;1
1.666.738.395.324;-221360128;0;1
1.666.738.395.324;-221425664;0;1
1.666.738.395.324;-221491200;0;1
1.666.738.395.324;-221458432;0;1
1.666.738.395.324;-221523968;0;1
1.666.738.395.324;-221491200;0;1
1.666.738.395.324;-221392896;0;1
1.666.738.395.324;-221585408;0;1
1.666.738.395.324;-221454336;0;1
1.666.738.395.324;-221585408;0;1
1.666.738.395.324;-221237248;0;1
1.666.738.395.324;-221138944;0;1
1.666.738.395.324;-228401152;1;1
1.666.738.395.324;-228577280;1;1
1.666.738.395.324;-348491776;1;1
1.666.738.395.324;-438657024;1;1
1.666.738.395.324;-442032128;1;1
1.666.738.395.324;-442277888;1;1
1.666.738.395.324;-442912768;1;1
1.666.738.395.324;-443006976;1;1
1.666.738.395.324;-443006976;1;1
1.666.738.395.324;-443039744;1;1
1.666.738.395.324;-443105280;1;1
1.666.738.395.324;-443232256;1;1
1.666.738.395.324;-443232256;1;1
1.666.738.395.324;-443232256;1;1
1.666.738.395.324;-443232256;1;1
1.666.738.395.324;-443805696;1;1
1.666.738.395.324;-443748352;1;1
1.666.738.395.324;-443707392;1;1
1.666.738.395.324;-443740160;1;1
1.666.738.395.324;-443707392;1;1
1.666.738.395.324;-443740160;1;1
1.666.738.395.324;-443707392;1;1
1.666.738.395.324;-443772928;1;1
1.666.738.395.324;-443772928;1;1
1.666.738.395.324;-443805696;1;1
1.666.738.395.324;-443805696;1;1
1.666.738.395.324;-443805696;1;1
1.666.738.395.324;-443834368;1;1
1.666.738.395.324;-443940864;1;1
1.666.738.395.324;-443940864;1;1
1.666.738.395.324;-443875328;1;1
