memory_free;r_a1;r_a2
0;0;0
35721216;0;0
36347904;0;0
36794368;0;0
37683200;0;0
38821888;0;0
39137280;0;0
39104512;0;0
39612416;0;0
39579648;0;0
39809024;0;0
39776256;0;0
40235008;0;0
40235008;0;0
45854720;0;0
138240000;0;0
311918592;0;0
311885824;0;0
311853056;0;0
312012800;0;0
312778752;0;0
312811520;0;0
312270848;0;0
312270848;0;0
312238080;0;0
312238080;0;0
312238080;0;0
312172544;0;0
312299520;0;0
312299520;0;0
312266752;0;0
312233984;0;0
312426496;0;0
312360960;0;0
312393728;0;0
312557568;0;0
312651776;0;0
312684544;0;0
312651776;0;0
312651776;0;0
312651776;0;0
312619008;0;0
312651776;0;0
312651776;0;0
312619008;0;0
312778752;0;0
312745984;0;0
312619008;0;0
312619008;0;0
312586240;0;0
312553472;0;0
312553472;0;0
312586240;0;0
312647680;0;0
312844288;0;0
312811520;0;0
312811520;0;0
312905728;0;0
312938496;0;0
312905728;0;0
312872960;0;0
312905728;0;0
312807424;0;0
312807424;0;0
312807424;0;0
312774656;0;0
313004032;0;0
312938496;0;0
312905728;0;0
312971264;0;0
312905728;0;0
312905728;0;0
312905728;0;0
312872960;0;0
312840192;0;0
312872960;0;0
312840192;0;0
313094144;0;0
313061376;0;0
313061376;0;0
313225216;0;0
313606144;0;0
313540608;0;0
313606144;0;0
313159680;0;0
313192448;0;0
313126912;0;0
313094144;0;0
313094144;0;0
313188352;0;0
313188352;0;0
313188352;0;0
317607936;0;0
313352192;0;0
313352192;0;0
313352192;0;0
313622528;0;0
313573376;0;0
313573376;0;0
313540608;0;0
313700352;0;0
313667584;0;0
313667584;0;0
313634816;0;0
313602048;0;0
313634816;0;0
313602048;0;0
313315328;0;0
313348096;0;0
313315328;0;0
313446400;0;0
313446400;0;0
313573376;0;0
313540608;0;0
313540608;0;0
313540608;0;0
313446400;0;0
313380864;0;0
313413632;0;0
313380864;0;0
313507840;0;0
313475072;0;0
313475072;0;0
313475072;0;0
313442304;0;0
313409536;0;0
313442304;0;0
313409536;0;0
313860096;0;0
313827328;0;0
313573376;0;0
313573376;0;0
313540608;0;0
313573376;0;0
313540608;0;0
313540608;0;1
320200704;0;1
357912576;0;1
420704256;0;1
440061952;0;1
617644032;0;1
667729920;0;1
668614656;0;1
671879168;0;1
672169984;0;1
672104448;0;1
672235520;0;1
672169984;0;1
672391168;0;1
672522240;0;1
672423936;0;1
672358400;0;1
672997376;0;1
672899072;0;1
673030144;0;1
672866304;0;1
672931840;0;1
672931840;0;1
672997376;0;1
672964608;0;1
672960512;0;1
673124352;0;1
673488896;0;1
673714176;0;1
673742848;0;1
673873920;0;1
673775616;0;1
673841152;0;1
673710080;0;1
673873920;0;1
673775616;0;1
673873920;0;1
674029568;0;1
673964032;0;1
674095104;0;1
674029568;0;1
674029568;0;1
674095104;0;1
674029568;0;1
673837056;0;1
673013760;0;1
673071104;0;1
673005568;0;1
672940032;0;1
673038336;0;1
672972800;0;1
673071104;0;1
672972800;0;1
673103872;0;1
673165312;0;1
673067008;0;1
673198080;0;1
673099776;0;1
673132544;0;1
672845824;0;1
672944128;1;1
672976896;1;1
731787264;1;1
681381888;1;1
850710528;1;1
892604416;1;1
894820352;1;1
895946752;1;1
896327680;1;1
896450560;1;1
896675840;1;1
896708608;1;1
896544768;1;1
896610304;1;1
897310720;1;1
897376256;1;1
897179648;1;1
897277952;1;1
897253376;1;1
897097728;1;1
897163264;1;1
897142784;1;1
897290240;1;1
897126400;1;1
897191936;1;1
897290240;1;1
897126400;1;1
897191936;1;1
897224704;1;1
897257472;1;1
897265664;1;1
897134592;1;1
897200128;1;1
897486848;1;1
897454080;1;1
897552384;1;1
897355776;1;1
897421312;1;1
897519616;1;1
897388544;1;1
897454080;1;1
897232896;1;1
897097728;1;1
897163264;1;1
897032192;1;1
897097728;1;1
897097728;1;1
897130496;1;1
897163264;1;1
897064960;1;1
897097728;1;1
897163264;1;1
896966656;1;1
896905216;1;1
896880640;1;1
896978944;1;1
897011712;1;1
897044480;1;1
896839680;1;1
896872448;1;1
896970752;1;2
956887040;1;2
906203136;1;2
963391488;1;2
1108910080;1;2
1119789056;1;2
1120010240;1;2
1120485376;1;2
1119715328;1;2
1119776768;1;2
1119776768;1;2
1120006144;1;2
1120038912;1;2
1120419840;1;2
1120387072;1;2
1120354304;1;2
1120387072;1;2
1120772096;1;2
1120763904;1;2
1120870400;1;2
1120903168;1;2
1120870400;1;2
1120862208;1;2
1120935936;1;2
1120927744;1;2
