memory_free;r_a1;r_a2
0;0;0
106496;4;4
-57344;4;4
262144;4;4
196608;4;4
327680;4;4
360448;4;4
581632;4;4
581632;4;4
507904;4;4
442368;4;4
475136;4;4
843776;4;4
671744;4;4
802816;4;4
835584;4;4
929792;4;4
897024;4;4
995328;4;4
995328;4;4
864256;4;4
864256;4;4
1028096;4;4
1056768;4;4
1122304;4;4
999424;4;4
1089536;4;4
1216512;4;4
1343488;4;4
1470464;4;4
1503232;4;4
1884160;4;4
1744896;4;4
1880064;4;4
1970176;4;4
2719744;4;4
2420736;4;4
2486272;4;4
831488;4;4
868352;4;4
901120;4;4
778240;4;4
770048;5;4
901120;5;4
9113600;5;4
60149760;5;4
10555392;5;4
10498048;5;4
11915264;5;4
70901760;5;4
174522368;5;4
213909504;5;4
223780864;5;4
224096256;5;4
222822400;5;4
222924800;5;4
222965760;5;4
222900224;5;4
222957568;5;4
224194560;5;4
224301056;5;4
224235520;5;4
224055296;5;4
224370688;5;4
224313344;5;4
224264192;5;4
224395264;5;4
224600064;5;4
224534528;5;4
224583680;5;4
224591872;5;4
224714752;5;4
224854016;5;4
224821248;5;4
224837632;5;4
224907264;5;4
224964608;5;4
224931840;5;4
224948224;5;4
224858112;5;4
224858112;5;4
224948224;5;4
225005568;5;4
224915456;5;4
224989184;5;4
224989184;5;4
225013760;5;4
224948224;5;4
225038336;5;4
224882688;5;4
224940032;5;4
224882688;5;4
224915456;5;4
224882688;5;4
225021952;5;4
225042432;5;4
225017856;5;4
225148928;5;4
225116160;5;4
225083392;5;4
225116160;5;4
225083392;5;4
225017856;5;4
225218560;5;5
235741184;5;5
233095168;5;5
233234432;5;5
233295872;5;5
233234432;5;5
233291776;5;5
237359104;5;5
290594816;5;5
423215104;5;5
437596160;5;5
445038592;5;5
447143936;5;5
447279104;5;5
447537152;5;5
447537152;5;5
447946752;5;5
447946752;5;5
448012288;5;5
448077824;5;5
448258048;5;5
448200704;5;5
448323584;5;5
448372736;5;5
448397312;5;5
448397312;5;5
448331776;5;5
448331776;5;5
448491520;5;5
448466944;5;5
448434176;5;5
448458752;5;5
448495616;5;5
448569344;5;5
448684032;5;5
448487424;5;5
448602112;5;5
448667648;5;5
448495616;5;5
448512000;5;5
448835584;5;5
448933888;5;5
448991232;5;5
449138688;5;5
449839104;5;5
449937408;5;5
449880064;5;5
449740800;5;5
449740800;5;5
449806336;5;5
449945600;5;5
449806336;5;5
449798144;5;5
449888256;5;5
449929216;5;5
449548288;5;5
449617920;5;5
449470464;5;5
449470464;5;5
449527808;5;5
449679360;6;5
455655424;6;5
457969664;6;5
505257984;6;5
458297344;6;5
487809024;6;5
458797056;6;5
459558912;6;5
502636544;6;5
510476288;6;5
459558912;6;5
554942464;6;5
652546048;6;5
665280512;6;5
671653888;6;5
672940032;6;5
673353728;6;5
673353728;6;5
673320960;6;5
673329152;6;5
673640448;6;5
673640448;6;5
673607680;6;5
673673216;6;5
673738752;6;5
673673216;6;5
673705984;6;5
673640448;6;5
673832960;6;5
673865728;6;5
673939456;6;5
673759232;6;5
673914880;6;5
674058240;6;5
674025472;6;5
673996800;6;5
674119680;6;5
674152448;6;5
673964032;6;5
674160640;6;5
674279424;6;5
674172928;6;5
674115584;6;5
674213888;6;5
674275328;6;5
674267136;6;5
674373632;6;5
674422784;6;5
674398208;6;5
674398208;6;5
674398208;6;5
674373632;6;5
674373632;6;5
674402304;6;5
674435072;6;5
674242560;6;5
674316288;6;5
674336768;6;5
674402304;6;5
674426880;6;5
674791424;6;6
702308352;6;6
682860544;6;6
685076480;6;6
731136000;6;6
683655168;6;6
683966464;6;6
730353664;6;6
682827776;6;6
682835968;6;6
688189440;6;6
732930048;6;6
683028480;6;6
683683840;6;6
744284160;6;6
873697280;6;6
885751808;6;6
894521344;6;6
895315968;6;6
897433600;6;6
897929216;6;6
897757184;6;6
898088960;6;6
898293760;6;6
898912256;6;6
898797568;6;6
898961408;6;6
899026944;6;6
900608000;6;6
900608000;6;6
900685824;6;6
900841472;6;6
901373952;6;6
901373952;6;6
898416640;6;6
898555904;6;6
898707456;6;6
898609152;6;6
898560000;6;6
898535424;6;6
898617344;6;6
898682880;6;6
898715648;6;6
898510848;6;6
899084288;6;6
899190784;6;6
899076096;6;6
899182592;6;6
899076096;6;6
899117056;6;6
899190784;6;6
899108864;6;6
899108864;6;6
899264512;6;6
899158016;6;6
899158016;6;6
899215360;6;6
899190784;6;6
899289088;6;6
899067904;6;6
899358720;7;6
921419776;7;6
950349824;7;6
957448192;7;6
908644352;7;6
908627968;7;6
910295040;7;6
911982592;7;6
951906304;7;6
959971328;7;6
909271040;7;6
909230080;7;6
909180928;7;6
912809984;7;6
952164352;7;6
959463424;7;6
909623296;7;6
909688832;7;6
909856768;7;6
913104896;7;6
941768704;7;6
958828544;7;6
960724992;7;6
910053376;7;6
909922304;7;6
910163968;7;6
911151104;7;6
952573952;7;6
930668544;7;6
955092992;7;6
961163264;7;6
961241088;7;6
910450688;7;6
910467072;7;6
910553088;7;6
967426048;7;6
1078415360;7;6
1112657920;7;6
1120411648;7;6
1120919552;7;6
1121525760;7;6
1122177024;7;6
1122496512;7;6
1122570240;7;6
1123205120;7;6
1122009088;7;6
1122279424;7;6
1122709504;7;6
1123930112;7;6
1123184640;7;6
1123315712;7;6
1123315712;7;6
1123897344;7;6
1123627008;7;6
1124102144;7;6
1124687872;7;6
1124220928;7;6
1124827136;7;6
1125183488;7;6
1124806656;7;6
1125408768;7;7
1140862976;7;7
1132638208;7;7
1135910912;7;7
1137045504;7;7
1175425024;7;7
