memory_free;r_a1;r_a2
0;0;0
33234944;0;0
33935360;0;0
34824192;0;0
35782656;0;0
36450304;0;0
36356096;0;0
36323328;0;0
36417536;0;0
37085184;0;0
38289408;0;0
38289408;0;0
38764544;0;0
38731776;0;0
38731776;0;0
38895616;0;0
39022592;0;0
39022592;0;0
38957056;0;0
38989824;0;0
38703104;0;0
38703104;0;0
38670336;0;0
38670336;0;0
38797312;0;0
38731776;0;0
38731776;0;0
38699008;0;0
38731776;0;0
38928384;0;0
38862848;0;0
38830080;0;0
39337984;0;0
39211008;0;0
39211008;0;0
39178240;0;0
39145472;0;0
39178240;0;0
39145472;0;0
39211008;0;0
39239680;0;0
39239680;0;0
39239680;0;0
39206912;1;0
86773760;1;0
148082688;1;0
148312064;1;0
171937792;1;0
324182016;1;0
387350528;1;0
395923456;1;0
396492800;1;0
397955072;1;0
397955072;1;0
397955072;1;0
397955072;1;0
397955072;1;0
398270464;1;0
398434304;1;0
398303232;1;0
398688256;1;0
399097856;1;0
399228928;1;0
399065088;1;0
399163392;1;0
399319040;1;0
399450112;1;0
399351808;1;0
399253504;1;0
399417344;1;0
399351808;1;0
399417344;1;0
399384576;1;0
399544320;1;0
399511552;1;0
399544320;1;0
399446016;1;0
399577088;1;0
399511552;1;0
399577088;1;0
399544320;1;0
399667200;1;0
399798272;1;0
399732736;1;0
399634432;1;0
399765504;1;0
399572992;1;0
399163392;1;0
399032320;1;0
399163392;1;0
399065088;1;0
399163392;1;0
399065088;1;0
399163392;1;0
399032320;1;0
399196160;1;0
399130624;1;0
399290368;1;0
399257600;1;0
399159296;1;0
399319040;1;0
399450112;1;0
399351808;1;0
399319040;1;1
399478784;1;1
407220224;1;1
407359488;1;1
407703552;1;1
579895296;1;1
618758144;1;1
621441024;1;1
621785088;1;1
622133248;1;1
621936640;1;1
621969408;1;1
622067712;1;1
622514176;1;1
622383104;1;1
622448640;1;1
622514176;1;1
623333376;1;1
623431680;1;1
623439872;1;1
623439872;1;1
623972352;1;1
624005120;1;1
623116288;1;1
623017984;1;1
623050752;1;1
623083520;1;1
623083520;1;1
622952448;1;1
622985216;1;1
622985216;1;1
623243264;1;1
623271936;1;1
623411200;1;1
623280128;1;1
623345664;1;1
623378432;1;1
623280128;1;1
623280128;1;1
623378432;1;1
623411200;1;1
623407104;1;1
623345664;1;1
623058944;1;1
622989312;1;1
623726592;1;1
623751168;1;1
623751168;1;1
623620096;1;1
623718400;1;1
623783936;1;1
623783936;1;1
623620096;1;1
623587328;1;1
623685632;1;1
623652864;1;1
623685632;1;1
623652864;1;1
623431680;1;1
623464448;1;1
623529984;1;1
651354112;2;1
632623104;2;1
636301312;2;1
635588608;2;1
816168960;2;1
843620352;2;1
846532608;2;1
846848000;2;1
846848000;2;1
847331328;2;1
847654912;2;1
847970304;2;1
847810560;2;1
847777792;2;1
847810560;2;1
847810560;2;1
847777792;2;1
848158720;2;1
848093184;2;1
848191488;2;1
848093184;2;1
848252928;2;1
848384000;2;1
848318464;2;1
848384000;2;1
848351232;2;1
848351232;2;1
848318464;2;1
848318464;2;1
848412672;2;1
848510976;2;1
848420864;2;1
848478208;2;1
848699392;2;1
848601088;2;1
848601088;2;1
848633856;2;1
848601088;2;1
848732160;2;1
848601088;2;1
848601088;2;1
848891904;2;1
848891904;2;1
848158720;2;1
848265216;2;1
848224256;2;1
848125952;2;1
848093184;2;1
848093184;2;1
848158720;2;1
848093184;2;1
848224256;2;1
848191488;2;1
848257024;2;1
848257024;2;1
848158720;2;1
848351232;2;1
848384000;2;1
848285696;2;1
848220160;2;1
848367616;2;2
906616832;2;2
902852608;2;2
899137536;2;2
912105472;2;2
1065545728;2;2
1067892736;2;2
1070510080;2;2
1071210496;2;2
